go to sleep
got lock: rb.0.1028.6b8b4567.000000000b71
start migration rb.0.1028.6b8b4567.000000000b72
got lock: rb.0.1028.6b8b4567.000000000b72
start migration rb.0.1028.6b8b4567.000000000b74
got lock: rb.0.1028.6b8b4567.000000000b74
finifsh migration rb.0.1028.6b8b4567.000000000b55
finifsh migration rb.0.1028.6b8b4567.000000000b5c
start migration rb.0.1028.6b8b4567.000000000b75
got lock: rb.0.1028.6b8b4567.000000000b75
finifsh migration rb.0.1028.6b8b4567.000000000b6e
finifsh migration rb.0.1028.6b8b4567.000000000b61
start migration rb.0.1028.6b8b4567.000000000b76
got lock: rb.0.1028.6b8b4567.000000000b76
finifsh migration rb.0.1028.6b8b4567.000000000b6d
finifsh migration rb.0.1028.6b8b4567.000000000b5d
finifsh migration rb.0.1028.6b8b4567.000000000b67
start migration rb.0.1028.6b8b4567.000000000b78
got lock: rb.0.1028.6b8b4567.000000000b78
start migration rb.0.1028.6b8b4567.000000000b79
got lock: rb.0.1028.6b8b4567.000000000b79
start migration rb.0.1028.6b8b4567.000000000b7a
got lock: rb.0.1028.6b8b4567.000000000b7a
start migration rb.0.1028.6b8b4567.000000000b7b
got lock: rb.0.1028.6b8b4567.000000000b7b
finifsh migration rb.0.1028.6b8b4567.000000000b68
finifsh migration rb.0.1028.6b8b4567.000000000b6b
finifsh migration rb.0.1028.6b8b4567.000000000b75
finifsh migration rb.0.1028.6b8b4567.000000000b6a
start migration rb.0.1028.6b8b4567.000000000b7c
got lock: rb.0.1028.6b8b4567.000000000b7c
start migration rb.0.1028.6b8b4567.000000000b7d
got lock: rb.0.1028.6b8b4567.000000000b7d
finifsh migration rb.0.1028.6b8b4567.000000000b72
finifsh migration rb.0.1028.6b8b4567.000000000b70
start migration rb.0.1028.6b8b4567.000000000b7f
got lock: rb.0.1028.6b8b4567.000000000b7f
start migration rb.0.1028.6b8b4567.000000000b80
got lock: rb.0.1028.6b8b4567.000000000b80
start migration rb.0.1028.6b8b4567.000000000b81
got lock: rb.0.1028.6b8b4567.000000000b81
finifsh migration rb.0.1028.6b8b4567.000000000b74
finifsh migration rb.0.1028.6b8b4567.000000000b76
finifsh migration rb.0.1028.6b8b4567.000000000b71
start migration rb.0.1028.6b8b4567.000000000b82
got lock: rb.0.1028.6b8b4567.000000000b82
finifsh migration rb.0.1028.6b8b4567.000000000b7a
finifsh migration rb.0.1028.6b8b4567.000000000b7b
finifsh migration rb.0.1028.6b8b4567.000000000b78
finifsh migration rb.0.1028.6b8b4567.000000000b80
finifsh migration rb.0.1028.6b8b4567.000000000b79
start migration rb.0.1028.6b8b4567.000000000b83
got lock: rb.0.1028.6b8b4567.000000000b83
finifsh migration rb.0.1028.6b8b4567.000000000b7c
start migration rb.0.1028.6b8b4567.000000000b85
got lock: rb.0.1028.6b8b4567.000000000b85
finifsh migration rb.0.1028.6b8b4567.000000000b7d
finifsh migration rb.0.1028.6b8b4567.000000000b7f
finifsh migration rb.0.1028.6b8b4567.000000000b81
finifsh migration rb.0.1028.6b8b4567.000000000b83
finifsh migration rb.0.1028.6b8b4567.000000000b82
start migration rb.0.1028.6b8b4567.000000000b86
got lock: rb.0.1028.6b8b4567.000000000b86
start migration rb.0.1028.6b8b4567.000000000b87
got lock: rb.0.1028.6b8b4567.000000000b87
start migration rb.0.1028.6b8b4567.000000000b88
got lock: rb.0.1028.6b8b4567.000000000b88
finifsh migration rb.0.1028.6b8b4567.000000000b86
finifsh migration rb.0.1028.6b8b4567.000000000b85
finifsh migration rb.0.1028.6b8b4567.000000000b87
start migration rb.0.1028.6b8b4567.000000000b89
got lock: rb.0.1028.6b8b4567.000000000b89
finifsh migration rb.0.1028.6b8b4567.000000000b88
start migration rb.0.1028.6b8b4567.000000000b8a
got lock: rb.0.1028.6b8b4567.000000000b8a
start migration rb.0.1028.6b8b4567.000000000b8c
got lock: rb.0.1028.6b8b4567.000000000b8c
start migration rb.0.1028.6b8b4567.000000000b8d
got lock: rb.0.1028.6b8b4567.000000000b8d
start migration rb.0.1028.6b8b4567.000000000b8f
got lock: rb.0.1028.6b8b4567.000000000b8f
start migration rb.0.1028.6b8b4567.000000000b93
got lock: rb.0.1028.6b8b4567.000000000b93
start migration rb.0.1028.6b8b4567.000000000b95
got lock: rb.0.1028.6b8b4567.000000000b95
start migration rb.0.1028.6b8b4567.000000000b96
got lock: rb.0.1028.6b8b4567.000000000b96
start migration rb.0.1028.6b8b4567.000000000b97
got lock: rb.0.1028.6b8b4567.000000000b97
finifsh migration rb.0.1028.6b8b4567.000000000b89
start migration rb.0.1028.6b8b4567.000000000b99
got lock: rb.0.1028.6b8b4567.000000000b99
finifsh migration rb.0.1028.6b8b4567.000000000b95
finifsh migration rb.0.1028.6b8b4567.000000000b8c
finifsh migration rb.0.1028.6b8b4567.000000000b8a
start migration rb.0.1028.6b8b4567.000000000b9a
got lock: rb.0.1028.6b8b4567.000000000b9a
finifsh migration rb.0.1028.6b8b4567.000000000b96
finifsh migration rb.0.1028.6b8b4567.000000000b8d
start migration rb.0.1028.6b8b4567.000000000b9b
got lock: rb.0.1028.6b8b4567.000000000b9b
start migration rb.0.1028.6b8b4567.000000000b9c
got lock: rb.0.1028.6b8b4567.000000000b9c
finifsh migration rb.0.1028.6b8b4567.000000000b93
finifsh migration rb.0.1028.6b8b4567.000000000b8f
finifsh migration rb.0.1028.6b8b4567.000000000b99
start migration rb.0.1028.6b8b4567.000000000b9e
got lock: rb.0.1028.6b8b4567.000000000b9e
finifsh migration rb.0.1028.6b8b4567.000000000b97
finifsh migration rb.0.1028.6b8b4567.000000000b9a
finifsh migration rb.0.1028.6b8b4567.000000000b9b
start migration rb.0.1028.6b8b4567.000000000b9f
got lock: rb.0.1028.6b8b4567.000000000b9f
finifsh migration rb.0.1028.6b8b4567.000000000b9c
finifsh migration rb.0.1028.6b8b4567.000000000b9e
finifsh migration rb.0.1028.6b8b4567.000000000b9f
start migration rb.0.1028.6b8b4567.000000000ba0
got lock: rb.0.1028.6b8b4567.000000000ba0
start migration rb.0.1028.6b8b4567.000000000ba1
got lock: rb.0.1028.6b8b4567.000000000ba1
start migration rb.0.1028.6b8b4567.000000000ba2
got lock: rb.0.1028.6b8b4567.000000000ba2
finifsh migration rb.0.1028.6b8b4567.000000000ba1
finifsh migration rb.0.1028.6b8b4567.000000000ba0
start migration rb.0.1028.6b8b4567.000000000ba3
got lock: rb.0.1028.6b8b4567.000000000ba3
finifsh migration rb.0.1028.6b8b4567.000000000ba2
start migration rb.0.1028.6b8b4567.000000000ba5
got lock: rb.0.1028.6b8b4567.000000000ba5
finifsh migration rb.0.1028.6b8b4567.000000000ba3
start migration rb.0.1028.6b8b4567.000000000ba6
got lock: rb.0.1028.6b8b4567.000000000ba6
finifsh migration rb.0.1028.6b8b4567.000000000ba5
start migration rb.0.1028.6b8b4567.000000000ba7
got lock: rb.0.1028.6b8b4567.000000000ba7
finifsh migration rb.0.1028.6b8b4567.000000000ba6
start migration rb.0.1028.6b8b4567.000000000ba8
got lock: rb.0.1028.6b8b4567.000000000ba8
start migration rb.0.1028.6b8b4567.000000000ba9
got lock: rb.0.1028.6b8b4567.000000000ba9
start migration rb.0.1028.6b8b4567.000000000baa
got lock: rb.0.1028.6b8b4567.000000000baa
finifsh migration rb.0.1028.6b8b4567.000000000ba9
finifsh migration rb.0.1028.6b8b4567.000000000ba7
finifsh migration rb.0.1028.6b8b4567.000000000ba8
start migration rb.0.1028.6b8b4567.000000000bab
got lock: rb.0.1028.6b8b4567.000000000bab
finifsh migration rb.0.1028.6b8b4567.000000000baa
start migration rb.0.1028.6b8b4567.000000000bac
got lock: rb.0.1028.6b8b4567.000000000bac
start migration rb.0.1028.6b8b4567.000000000bad
got lock: rb.0.1028.6b8b4567.000000000bad
start migration rb.0.1028.6b8b4567.000000000bae
got lock: rb.0.1028.6b8b4567.000000000bae
finifsh migration rb.0.1028.6b8b4567.000000000bac
finifsh migration rb.0.1028.6b8b4567.000000000bad
finifsh migration rb.0.1028.6b8b4567.000000000bab
start migration rb.0.1028.6b8b4567.000000000bb2
got lock: rb.0.1028.6b8b4567.000000000bb2
start migration rb.0.1028.6b8b4567.000000000bb3
got lock: rb.0.1028.6b8b4567.000000000bb3
start migration rb.0.1028.6b8b4567.000000000bb4
got lock: rb.0.1028.6b8b4567.000000000bb4
start migration rb.0.1028.6b8b4567.000000000bb5
got lock: rb.0.1028.6b8b4567.000000000bb5
start migration rb.0.1028.6b8b4567.000000000bb6
got lock: rb.0.1028.6b8b4567.000000000bb6
start migration rb.0.1028.6b8b4567.000000000bb7
got lock: rb.0.1028.6b8b4567.000000000bb7
start migration rb.0.1028.6b8b4567.000000000bb9
got lock: rb.0.1028.6b8b4567.000000000bb9
start migration rb.0.1028.6b8b4567.000000000bba
got lock: rb.0.1028.6b8b4567.000000000bba
start migration rb.0.1028.6b8b4567.000000000bbb
got lock: rb.0.1028.6b8b4567.000000000bbb
start migration rb.0.1028.6b8b4567.000000000bbc
got lock: rb.0.1028.6b8b4567.000000000bbc
start migration rb.0.1028.6b8b4567.000000000bc0
got lock: rb.0.1028.6b8b4567.000000000bc0
finifsh migration rb.0.1028.6b8b4567.000000000bae
start migration rb.0.1028.6b8b4567.000000000bc1
got lock: rb.0.1028.6b8b4567.000000000bc1
start migration rb.0.1028.6b8b4567.000000000bc4
got lock: rb.0.1028.6b8b4567.000000000bc4
finifsh migration rb.0.1028.6b8b4567.000000000bb5
finifsh migration rb.0.1028.6b8b4567.000000000bb2
start migration rb.0.1028.6b8b4567.000000000bc5
got lock: rb.0.1028.6b8b4567.000000000bc5
finifsh migration rb.0.1028.6b8b4567.000000000bb3
finifsh migration rb.0.1028.6b8b4567.000000000bb9
finifsh migration rb.0.1028.6b8b4567.000000000bb4
finifsh migration rb.0.1028.6b8b4567.000000000bb6
start migration rb.0.1028.6b8b4567.000000000bc6
got lock: rb.0.1028.6b8b4567.000000000bc6
finifsh migration rb.0.1028.6b8b4567.000000000bb7
start migration rb.0.1028.6b8b4567.000000000bc7
got lock: rb.0.1028.6b8b4567.000000000bc7
finifsh migration rb.0.1028.6b8b4567.000000000bc0
finifsh migration rb.0.1028.6b8b4567.000000000bbb
start migration rb.0.1028.6b8b4567.000000000bc8
got lock: rb.0.1028.6b8b4567.000000000bc8
finifsh migration rb.0.1028.6b8b4567.000000000bc1
finifsh migration rb.0.1028.6b8b4567.000000000bbc
finifsh migration rb.0.1028.6b8b4567.000000000bba
finifsh migration rb.0.1028.6b8b4567.000000000bc6
start migration rb.0.1028.6b8b4567.000000000bca
got lock: rb.0.1028.6b8b4567.000000000bca
start migration rb.0.1028.6b8b4567.000000000bcc
got lock: rb.0.1028.6b8b4567.000000000bcc
finifsh migration rb.0.1028.6b8b4567.000000000bc8
start migration rb.0.1028.6b8b4567.000000000bcd
got lock: rb.0.1028.6b8b4567.000000000bcd
finifsh migration rb.0.1028.6b8b4567.000000000bc4
finifsh migration rb.0.1028.6b8b4567.000000000bc5
finifsh migration rb.0.1028.6b8b4567.000000000bcc
start migration rb.0.1028.6b8b4567.000000000bce
got lock: rb.0.1028.6b8b4567.000000000bce
finifsh migration rb.0.1028.6b8b4567.000000000bc7
start migration rb.0.1028.6b8b4567.000000000bcf
got lock: rb.0.1028.6b8b4567.000000000bcf
finifsh migration rb.0.1028.6b8b4567.000000000bcd
start migration rb.0.1028.6b8b4567.000000000bd0
got lock: rb.0.1028.6b8b4567.000000000bd0
finifsh migration rb.0.1028.6b8b4567.000000000bce
finifsh migration rb.0.1028.6b8b4567.000000000bca
finifsh migration rb.0.1028.6b8b4567.000000000bcf
start migration rb.0.1028.6b8b4567.000000000bd1
got lock: rb.0.1028.6b8b4567.000000000bd1
start migration rb.0.1028.6b8b4567.000000000bd2
got lock: rb.0.1028.6b8b4567.000000000bd2
finifsh migration rb.0.1028.6b8b4567.000000000bd1
finifsh migration rb.0.1028.6b8b4567.000000000bd0
start migration rb.0.1028.6b8b4567.000000000bd3
got lock: rb.0.1028.6b8b4567.000000000bd3
finifsh migration rb.0.1028.6b8b4567.000000000bd3
start migration rb.0.1028.6b8b4567.000000000bd4
got lock: rb.0.1028.6b8b4567.000000000bd4
start migration rb.0.1028.6b8b4567.000000000bd5
got lock: rb.0.1028.6b8b4567.000000000bd5
finifsh migration rb.0.1028.6b8b4567.000000000bd5
start migration rb.0.1028.6b8b4567.000000000bd8
got lock: rb.0.1028.6b8b4567.000000000bd8
finifsh migration rb.0.1028.6b8b4567.000000000bd2
finifsh migration rb.0.1028.6b8b4567.000000000bd4
start migration rb.0.1028.6b8b4567.000000000bd9
got lock: rb.0.1028.6b8b4567.000000000bd9
finifsh migration rb.0.1028.6b8b4567.000000000bd8
start migration rb.0.1028.6b8b4567.000000000bdb
got lock: rb.0.1028.6b8b4567.000000000bdb
start migration rb.0.1028.6b8b4567.000000000bdd
got lock: rb.0.1028.6b8b4567.000000000bdd
start migration rb.0.1028.6b8b4567.000000000bdf
got lock: rb.0.1028.6b8b4567.000000000bdf
start migration rb.0.1028.6b8b4567.000000000be0
got lock: rb.0.1028.6b8b4567.000000000be0
start migration rb.0.1028.6b8b4567.000000000be1
got lock: rb.0.1028.6b8b4567.000000000be1
start migration rb.0.1028.6b8b4567.000000000be3
got lock: rb.0.1028.6b8b4567.000000000be3
start migration rb.0.1028.6b8b4567.000000000be4
got lock: rb.0.1028.6b8b4567.000000000be4
start migration rb.0.1028.6b8b4567.000000000be5
got lock: rb.0.1028.6b8b4567.000000000be5
start migration rb.0.1028.6b8b4567.000000000be6
got lock: rb.0.1028.6b8b4567.000000000be6
start migration rb.0.1028.6b8b4567.000000000be7
got lock: rb.0.1028.6b8b4567.000000000be7
start migration rb.0.1028.6b8b4567.000000000be8
got lock: rb.0.1028.6b8b4567.000000000be8
finifsh migration rb.0.1028.6b8b4567.000000000bdb
finifsh migration rb.0.1028.6b8b4567.000000000bdd
finifsh migration rb.0.1028.6b8b4567.000000000bd9
start migration rb.0.1028.6b8b4567.000000000be9
got lock: rb.0.1028.6b8b4567.000000000be9
finifsh migration rb.0.1028.6b8b4567.000000000bdf
start migration rb.0.1028.6b8b4567.000000000bea
got lock: rb.0.1028.6b8b4567.000000000bea
start migration rb.0.1028.6b8b4567.000000000beb
got lock: rb.0.1028.6b8b4567.000000000beb
finifsh migration rb.0.1028.6b8b4567.000000000be1
finifsh migration rb.0.1028.6b8b4567.000000000be6
finifsh migration rb.0.1028.6b8b4567.000000000be5
finifsh migration rb.0.1028.6b8b4567.000000000bea
finifsh migration rb.0.1028.6b8b4567.000000000be0
start migration rb.0.1028.6b8b4567.000000000bec
got lock: rb.0.1028.6b8b4567.000000000bec
start migration rb.0.1028.6b8b4567.000000000bed
got lock: rb.0.1028.6b8b4567.000000000bed
start migration rb.0.1028.6b8b4567.000000000bef
got lock: rb.0.1028.6b8b4567.000000000bef
finifsh migration rb.0.1028.6b8b4567.000000000be3
finifsh migration rb.0.1028.6b8b4567.000000000be7
start migration rb.0.1028.6b8b4567.000000000bf0
got lock: rb.0.1028.6b8b4567.000000000bf0
finifsh migration rb.0.1028.6b8b4567.000000000bec
finifsh migration rb.0.1028.6b8b4567.000000000be4
finifsh migration rb.0.1028.6b8b4567.000000000bed
finifsh migration rb.0.1028.6b8b4567.000000000be8
start migration rb.0.1028.6b8b4567.000000000bf2
got lock: rb.0.1028.6b8b4567.000000000bf2
finifsh migration rb.0.1028.6b8b4567.000000000beb
finifsh migration rb.0.1028.6b8b4567.000000000bf0
finifsh migration rb.0.1028.6b8b4567.000000000be9
start migration rb.0.1028.6b8b4567.000000000bf3
got lock: rb.0.1028.6b8b4567.000000000bf3
finifsh migration rb.0.1028.6b8b4567.000000000bef
start migration rb.0.1028.6b8b4567.000000000bf4
got lock: rb.0.1028.6b8b4567.000000000bf4
finifsh migration rb.0.1028.6b8b4567.000000000bf3
start migration rb.0.1028.6b8b4567.000000000bf5
got lock: rb.0.1028.6b8b4567.000000000bf5
finifsh migration rb.0.1028.6b8b4567.000000000bf2
start migration rb.0.1028.6b8b4567.000000000bf7
got lock: rb.0.1028.6b8b4567.000000000bf7
start migration rb.0.1028.6b8b4567.000000000bf8
got lock: rb.0.1028.6b8b4567.000000000bf8
finifsh migration rb.0.1028.6b8b4567.000000000bf4
start migration rb.0.1028.6b8b4567.000000000bf9
got lock: rb.0.1028.6b8b4567.000000000bf9
start migration rb.0.1028.6b8b4567.000000000bfa
got lock: rb.0.1028.6b8b4567.000000000bfa
finifsh migration rb.0.1028.6b8b4567.000000000bf7
start migration rb.0.1028.6b8b4567.000000000bfb
got lock: rb.0.1028.6b8b4567.000000000bfb
finifsh migration rb.0.1028.6b8b4567.000000000bf8
finifsh migration rb.0.1028.6b8b4567.000000000bfa
finifsh migration rb.0.1028.6b8b4567.000000000bfb
start migration rb.0.1028.6b8b4567.000000000bfd
got lock: rb.0.1028.6b8b4567.000000000bfd
start migration rb.0.1028.6b8b4567.000000000bfe
got lock: rb.0.1028.6b8b4567.000000000bfe
start migration rb.0.1028.6b8b4567.000000000bff
got lock: rb.0.1028.6b8b4567.000000000bff
start migration rb.0.1028.6b8b4567.000000000c00
got lock: rb.0.1028.6b8b4567.000000000c00
start migration rb.0.1028.6b8b4567.000000000c01
got lock: rb.0.1028.6b8b4567.000000000c01
start migration rb.0.1028.6b8b4567.000000000c02
got lock: rb.0.1028.6b8b4567.000000000c02
finifsh migration rb.0.1028.6b8b4567.000000000bf5
start migration rb.0.1028.6b8b4567.000000000c03
got lock: rb.0.1028.6b8b4567.000000000c03
start migration rb.0.1028.6b8b4567.000000000c04
got lock: rb.0.1028.6b8b4567.000000000c04
start migration rb.0.1028.6b8b4567.000000000c05
got lock: rb.0.1028.6b8b4567.000000000c05
start migration rb.0.1028.6b8b4567.000000000c07
got lock: rb.0.1028.6b8b4567.000000000c07
start migration rb.0.1028.6b8b4567.000000000c08
got lock: rb.0.1028.6b8b4567.000000000c08
start migration rb.0.1028.6b8b4567.000000000c09
got lock: rb.0.1028.6b8b4567.000000000c09
start migration rb.0.1028.6b8b4567.000000000c0b
got lock: rb.0.1028.6b8b4567.000000000c0b
start migration rb.0.1028.6b8b4567.000000000c0c
got lock: rb.0.1028.6b8b4567.000000000c0c
start migration rb.0.1028.6b8b4567.000000000c0e
got lock: rb.0.1028.6b8b4567.000000000c0e
finifsh migration rb.0.1028.6b8b4567.000000000bf9
start migration rb.0.1028.6b8b4567.000000000c12
got lock: rb.0.1028.6b8b4567.000000000c12
finifsh migration rb.0.1028.6b8b4567.000000000bfd
finifsh migration rb.0.1028.6b8b4567.000000000bff
start migration rb.0.1028.6b8b4567.000000000c14
got lock: rb.0.1028.6b8b4567.000000000c14
finifsh migration rb.0.1028.6b8b4567.000000000c00
finifsh migration rb.0.1028.6b8b4567.000000000c02
start migration rb.0.1028.6b8b4567.000000000c15
got lock: rb.0.1028.6b8b4567.000000000c15
finifsh migration rb.0.1028.6b8b4567.000000000bfe
finifsh migration rb.0.1028.6b8b4567.000000000c04
finifsh migration rb.0.1028.6b8b4567.000000000c07
finifsh migration rb.0.1028.6b8b4567.000000000c01
start migration rb.0.1028.6b8b4567.000000000c16
got lock: rb.0.1028.6b8b4567.000000000c16
finifsh migration rb.0.1028.6b8b4567.000000000c08
start migration rb.0.1028.6b8b4567.000000000c17
got lock: rb.0.1028.6b8b4567.000000000c17
finifsh migration rb.0.1028.6b8b4567.000000000c05
finifsh migration rb.0.1028.6b8b4567.000000000c0b
start migration rb.0.1028.6b8b4567.000000000c18
got lock: rb.0.1028.6b8b4567.000000000c18
finifsh migration rb.0.1028.6b8b4567.000000000c03
finifsh migration rb.0.1028.6b8b4567.000000000c09
finifsh migration rb.0.1028.6b8b4567.000000000c0c
finifsh migration rb.0.1028.6b8b4567.000000000c14
start migration rb.0.1028.6b8b4567.000000000c1a
got lock: rb.0.1028.6b8b4567.000000000c1a
finifsh migration rb.0.1028.6b8b4567.000000000c12
finifsh migration rb.0.1028.6b8b4567.000000000c0e
start migration rb.0.1028.6b8b4567.000000000c1b
got lock: rb.0.1028.6b8b4567.000000000c1b
finifsh migration rb.0.1028.6b8b4567.000000000c16
start migration rb.0.1028.6b8b4567.000000000c1d
got lock: rb.0.1028.6b8b4567.000000000c1d
start migration rb.0.1028.6b8b4567.000000000c1e
got lock: rb.0.1028.6b8b4567.000000000c1e
start migration rb.0.1028.6b8b4567.000000000c1f
got lock: rb.0.1028.6b8b4567.000000000c1f
finifsh migration rb.0.1028.6b8b4567.000000000c18
finifsh migration rb.0.1028.6b8b4567.000000000c15
finifsh migration rb.0.1028.6b8b4567.000000000c1e
finifsh migration rb.0.1028.6b8b4567.000000000c1a
start migration rb.0.1028.6b8b4567.000000000c20
got lock: rb.0.1028.6b8b4567.000000000c20
finifsh migration rb.0.1028.6b8b4567.000000000c1b
finifsh migration rb.0.1028.6b8b4567.000000000c17
finifsh migration rb.0.1028.6b8b4567.000000000c1d
start migration rb.0.1028.6b8b4567.000000000c21
got lock: rb.0.1028.6b8b4567.000000000c21
finifsh migration rb.0.1028.6b8b4567.000000000c20
start migration rb.0.1028.6b8b4567.000000000c22
got lock: rb.0.1028.6b8b4567.000000000c22
finifsh migration rb.0.1028.6b8b4567.000000000c21
finifsh migration rb.0.1028.6b8b4567.000000000c1f
start migration rb.0.1028.6b8b4567.000000000c23
got lock: rb.0.1028.6b8b4567.000000000c23
finifsh migration rb.0.1028.6b8b4567.000000000c22
start migration rb.0.1028.6b8b4567.000000000c24
got lock: rb.0.1028.6b8b4567.000000000c24
finifsh migration rb.0.1028.6b8b4567.000000000c23
start migration rb.0.1028.6b8b4567.000000000c25
got lock: rb.0.1028.6b8b4567.000000000c25
start migration rb.0.1028.6b8b4567.000000000c26
got lock: rb.0.1028.6b8b4567.000000000c26
finifsh migration rb.0.1028.6b8b4567.000000000c24
finifsh migration rb.0.1028.6b8b4567.000000000c25
start migration rb.0.1028.6b8b4567.000000000c27
got lock: rb.0.1028.6b8b4567.000000000c27
finifsh migration rb.0.1028.6b8b4567.000000000c26
start migration rb.0.1028.6b8b4567.000000000c28
got lock: rb.0.1028.6b8b4567.000000000c28
start migration rb.0.1028.6b8b4567.000000000c29
got lock: rb.0.1028.6b8b4567.000000000c29
start migration rb.0.1028.6b8b4567.000000000c2a
got lock: rb.0.1028.6b8b4567.000000000c2a
start migration rb.0.1028.6b8b4567.000000000c2c
got lock: rb.0.1028.6b8b4567.000000000c2c
start migration rb.0.1028.6b8b4567.000000000c2d
got lock: rb.0.1028.6b8b4567.000000000c2d
start migration rb.0.1028.6b8b4567.000000000c2e
got lock: rb.0.1028.6b8b4567.000000000c2e
start migration rb.0.1028.6b8b4567.000000000c2f
got lock: rb.0.1028.6b8b4567.000000000c2f
start migration rb.0.1028.6b8b4567.000000000c30
got lock: rb.0.1028.6b8b4567.000000000c30
start migration rb.0.1028.6b8b4567.000000000c31
got lock: rb.0.1028.6b8b4567.000000000c31
start migration rb.0.1028.6b8b4567.000000000c32
finifsh migration rb.0.1028.6b8b4567.000000000c27
got lock: rb.0.1028.6b8b4567.000000000c32
finifsh migration rb.0.1028.6b8b4567.000000000c29
finifsh migration rb.0.1028.6b8b4567.000000000c2a
finifsh migration rb.0.1028.6b8b4567.000000000c28
start migration rb.0.1028.6b8b4567.000000000c33
got lock: rb.0.1028.6b8b4567.000000000c33
start migration rb.0.1028.6b8b4567.000000000c34
got lock: rb.0.1028.6b8b4567.000000000c34
finifsh migration rb.0.1028.6b8b4567.000000000c2d
finifsh migration rb.0.1028.6b8b4567.000000000c2c
finifsh migration rb.0.1028.6b8b4567.000000000c2f
finifsh migration rb.0.1028.6b8b4567.000000000c32
start migration rb.0.1028.6b8b4567.000000000c35
got lock: rb.0.1028.6b8b4567.000000000c35
finifsh migration rb.0.1028.6b8b4567.000000000c2e
finifsh migration rb.0.1028.6b8b4567.000000000c30
start migration rb.0.1028.6b8b4567.000000000c36
got lock: rb.0.1028.6b8b4567.000000000c36
finifsh migration rb.0.1028.6b8b4567.000000000c31
start migration rb.0.1028.6b8b4567.000000000c39
got lock: rb.0.1028.6b8b4567.000000000c39
finifsh migration rb.0.1028.6b8b4567.000000000c34
finifsh migration rb.0.1028.6b8b4567.000000000c35
finifsh migration rb.0.1028.6b8b4567.000000000c33
finifsh migration rb.0.1028.6b8b4567.000000000c36
start migration rb.0.1028.6b8b4567.000000000c3b
got lock: rb.0.1028.6b8b4567.000000000c3b
finifsh migration rb.0.1028.6b8b4567.000000000c39
start migration rb.0.1028.6b8b4567.000000000c3c
got lock: rb.0.1028.6b8b4567.000000000c3c
start migration rb.0.1028.6b8b4567.000000000c3d
got lock: rb.0.1028.6b8b4567.000000000c3d
finifsh migration rb.0.1028.6b8b4567.000000000c3c
start migration rb.0.1028.6b8b4567.000000000c3e
got lock: rb.0.1028.6b8b4567.000000000c3e
finifsh migration rb.0.1028.6b8b4567.000000000c3b
finifsh migration rb.0.1028.6b8b4567.000000000c3d
finifsh migration rb.0.1028.6b8b4567.000000000c3e
start migration rb.0.1028.6b8b4567.000000000c40
got lock: rb.0.1028.6b8b4567.000000000c40
start migration rb.0.1028.6b8b4567.000000000c42
got lock: rb.0.1028.6b8b4567.000000000c42
start migration rb.0.1028.6b8b4567.000000000c43
got lock: rb.0.1028.6b8b4567.000000000c43
finifsh migration rb.0.1028.6b8b4567.000000000c40
start migration rb.0.1028.6b8b4567.000000000c44
got lock: rb.0.1028.6b8b4567.000000000c44
start migration rb.0.1028.6b8b4567.000000000c46
got lock: rb.0.1028.6b8b4567.000000000c46
finifsh migration rb.0.1028.6b8b4567.000000000c42
finifsh migration rb.0.1028.6b8b4567.000000000c43
start migration rb.0.1028.6b8b4567.000000000c47
got lock: rb.0.1028.6b8b4567.000000000c47
finifsh migration rb.0.1028.6b8b4567.000000000c47
start migration rb.0.1028.6b8b4567.000000000c49
got lock: rb.0.1028.6b8b4567.000000000c49
finifsh migration rb.0.1028.6b8b4567.000000000c44
finifsh migration rb.0.1028.6b8b4567.000000000c46
start migration rb.0.1028.6b8b4567.000000000c4a
got lock: rb.0.1028.6b8b4567.000000000c4a
start migration rb.0.1028.6b8b4567.000000000c4b
got lock: rb.0.1028.6b8b4567.000000000c4b
start migration rb.0.1028.6b8b4567.000000000c4e
got lock: rb.0.1028.6b8b4567.000000000c4e
start migration rb.0.1028.6b8b4567.000000000c51
got lock: rb.0.1028.6b8b4567.000000000c51
finifsh migration rb.0.1028.6b8b4567.000000000c4a
finifsh migration rb.0.1028.6b8b4567.000000000c4e
finifsh migration rb.0.1028.6b8b4567.000000000c49
start migration rb.0.1028.6b8b4567.000000000c52
got lock: rb.0.1028.6b8b4567.000000000c52
start migration rb.0.1028.6b8b4567.000000000c53
got lock: rb.0.1028.6b8b4567.000000000c53
start migration rb.0.1028.6b8b4567.000000000c55
got lock: rb.0.1028.6b8b4567.000000000c55
start migration rb.0.1028.6b8b4567.000000000c56
got lock: rb.0.1028.6b8b4567.000000000c56
start migration rb.0.1028.6b8b4567.000000000c57
got lock: rb.0.1028.6b8b4567.000000000c57
start migration rb.0.1028.6b8b4567.000000000c58
got lock: rb.0.1028.6b8b4567.000000000c58
finifsh migration rb.0.1028.6b8b4567.000000000c51
start migration rb.0.1028.6b8b4567.000000000c59
got lock: rb.0.1028.6b8b4567.000000000c59
start migration rb.0.1028.6b8b4567.000000000c5a
got lock: rb.0.1028.6b8b4567.000000000c5a
start migration rb.0.1028.6b8b4567.000000000c5b
got lock: rb.0.1028.6b8b4567.000000000c5b
start migration rb.0.1028.6b8b4567.000000000c5c
got lock: rb.0.1028.6b8b4567.000000000c5c
start migration rb.0.1028.6b8b4567.000000000c5e
got lock: rb.0.1028.6b8b4567.000000000c5e
